nk,n_keep,n_shell,partner,normalization,mu_meV,eta_baseline,eta_target,D_iso_baseline,D_iso_target,D_iso_rel_target_vs_baseline,D_iso_rel_percent,W_inter_baseline,W_inter_target,raw_partner_alignment_error_mean,best_partner_alignment_error_mean,partner_min_singular_value_min,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error
9,6,3,same_valley,fixed_delta0,-4.0,0.0,1.0,54068.20497404433,68798.89343860031,0.2724464122977175,27.244641229771748,0.830805277326124,0.8147614408288446,1.4154551749429836,1.3381271398143373,0.002083692709841653,0.0,0.0,0.006811730891522743
9,6,3,same_valley,fixed_delta0,0.0,0.0,1.0,111414.55710636999,113944.62461745713,0.022708590123206474,2.2708590123206474,0.830805277326124,0.8147614408288446,1.4154551749429836,1.3381271398143373,0.002083692709841653,0.0,0.0,0.023505575302768308
9,6,3,same_valley,fixed_delta0,2.0,0.0,1.0,106381.7548797057,103292.00055726184,-0.029044024757231002,-2.9044024757231,0.830805277326124,0.8147614408288446,1.4154551749429836,1.3381271398143373,0.002083692709841653,0.0,0.0,0.023678792927624422
9,6,3,same_valley,fixed_delta0,4.0,0.0,1.0,82069.24117276954,83705.91619063998,0.019942611805377375,1.9942611805377375,0.830805277326124,0.8147614408288446,1.4154551749429836,1.3381271398143373,0.002083692709841653,0.0,0.0,0.016329939735561544
9,6,3,same_valley,fixed_frobenius_norm,-4.0,0.0,1.0,54068.20497404433,71564.0136985388,0.3235877487128229,32.35877487128229,0.830805277326124,0.8147614408288447,1.4154551749429836,1.3381271398143373,0.002083692709841653,0.0,0.0,0.005991594834048668
9,6,3,same_valley,fixed_frobenius_norm,0.0,0.0,1.0,111414.55710636999,115547.4294186085,0.03709454508976573,3.709454508976573,0.830805277326124,0.8147614408288447,1.4154551749429836,1.3381271398143373,0.002083692709841653,0.0,0.0,0.016599257628501774
9,6,3,same_valley,fixed_frobenius_norm,2.0,0.0,1.0,106381.7548797057,99998.75421317286,-0.06000089652356844,-6.000089652356843,0.830805277326124,0.8147614408288447,1.4154551749429836,1.3381271398143373,0.002083692709841653,0.0,0.0,0.023678792927624422
9,6,3,same_valley,fixed_frobenius_norm,4.0,0.0,1.0,82069.24117276954,81790.34504981183,-0.0033983026889524703,-0.33983026889524703,0.830805277326124,0.8147614408288447,1.4154551749429836,1.3381271398143373,0.002083692709841653,0.0,0.0,0.012447986383662136
9,6,3,sewn_time_reversed_valley,fixed_delta0,-4.0,0.0,1.0,64906.1096955513,65174.01371018711,0.004127562349560687,0.4127562349560687,0.2441010979513234,0.7654993201118669,1.4147287673319455,1.375168691461797,0.0002274252896963874,0.0,0.0,0.008095639770353776
9,6,3,sewn_time_reversed_valley,fixed_delta0,0.0,0.0,1.0,107712.51052586571,96383.70620613203,-0.10517630927387234,-10.517630927387234,0.2441010979513234,0.7654993201118669,1.4147287673319455,1.375168691461797,0.0002274252896963874,0.0,0.0,0.018013037998713108
9,6,3,sewn_time_reversed_valley,fixed_delta0,2.0,0.0,1.0,96099.87405488838,98859.84461332869,0.02871981452196204,2.871981452196204,0.2441010979513234,0.7654993201118669,1.4147287673319455,1.375168691461797,0.0002274252896963874,0.0,0.0,0.015587724520295176
9,6,3,sewn_time_reversed_valley,fixed_delta0,4.0,0.0,1.0,80882.71946100355,81734.04130617529,0.010525386026148498,1.0525386026148498,0.2441010979513234,0.7654993201118669,1.4147287673319455,1.375168691461797,0.0002274252896963874,0.0,0.0,0.012322249953579691
9,6,3,sewn_time_reversed_valley,fixed_frobenius_norm,-4.0,0.0,1.0,64906.1096955513,67979.84277214689,0.04735660619644677,4.735660619644677,0.2441010979513234,0.7654993201118669,1.4147287673319455,1.375168691461797,0.0002274252896963874,0.0,0.0,0.0051625973480189085
9,6,3,sewn_time_reversed_valley,fixed_frobenius_norm,0.0,0.0,1.0,107712.51052586571,97292.13460980798,-0.09674248483471581,-9.674248483471581,0.2441010979513234,0.7654993201118669,1.4147287673319455,1.375168691461797,0.0002274252896963874,0.0,0.0,0.01265719670390878
9,6,3,sewn_time_reversed_valley,fixed_frobenius_norm,2.0,0.0,1.0,96099.87405488838,98778.32816418336,0.027871567321359425,2.7871567321359425,0.2441010979513234,0.7654993201118669,1.4147287673319455,1.375168691461797,0.0002274252896963874,0.0,0.0,0.010698080643665049
9,6,3,sewn_time_reversed_valley,fixed_frobenius_norm,4.0,0.0,1.0,80882.71946100355,80791.90548141956,-0.001122785932386683,-0.11227859323866829,0.2441010979513234,0.7654993201118669,1.4147287673319455,1.375168691461797,0.0002274252896963874,0.0,0.0,0.008546401430489542
9,6,3,time_reversed_valley,fixed_delta0,-4.0,0.0,1.0,68452.23028068134,70393.60347859467,0.02836099262146652,2.836099262146652,0.7796182600786289,0.7424019163353345,1.4147287673319455,1.375168691461797,0.0002274252896963874,0.0,0.0,0.007457680029826092
9,6,3,time_reversed_valley,fixed_delta0,0.0,0.0,1.0,87748.63699663474,103028.27123858,0.17412959066852807,17.412959066852807,0.7796182600786289,0.7424019163353345,1.4147287673319455,1.375168691461797,0.0002274252896963874,0.0,0.0,0.020266447807744177
9,6,3,time_reversed_valley,fixed_delta0,2.0,0.0,1.0,88268.64217697844,97470.97061731602,0.10425365354422178,10.425365354422178,0.7796182600786289,0.7424019163353345,1.4147287673319455,1.375168691461797,0.0002274252896963874,0.0,0.0,0.018112457243188232
9,6,3,time_reversed_valley,fixed_delta0,4.0,0.0,1.0,79836.44020088422,81845.326554511,0.025162524137749998,2.5162524137749998,0.7796182600786289,0.7424019163353345,1.4147287673319455,1.375168691461797,0.0002274252896963874,0.0,0.0,0.012774685669182224
9,6,3,time_reversed_valley,fixed_frobenius_norm,-4.0,0.0,1.0,68452.23028068134,67558.08648025912,-0.013062303401304431,-1.3062303401304431,0.7796182600786289,0.7424019163353345,1.4147287673319455,1.375168691461797,0.0002274252896963874,0.0,0.0,0.004958728771466657
9,6,3,time_reversed_valley,fixed_frobenius_norm,0.0,0.0,1.0,87748.63699663474,106992.43231960824,0.21930591723848103,21.930591723848103,0.7796182600786289,0.7424019163353345,1.4147287673319455,1.375168691461797,0.0002274252896963874,0.0,0.0,0.012750979407340804
9,6,3,time_reversed_valley,fixed_frobenius_norm,2.0,0.0,1.0,88268.64217697844,96463.49169994879,0.09283987292497042,9.283987292497041,0.7796182600786289,0.7424019163353345,1.4147287673319455,1.375168691461797,0.0002274252896963874,0.0,0.0,0.010192005648223985
