eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,interband_pairing_weight_mean,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,5,3,4,196,1.0,0.0,-8.881784197001248e-18,0.937110847054594,-0.03246543843426921,0.0,0.0,9.470843000195188e-16,59717.10366566623,27843.228878208873,31873.87478745736,-3.0740920919924973e-12,63724.695806650125,22230.41548953132,41494.28031711883,-2.5465851649641993e-13
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,5,3,4,196,1.0,0.0,0.016811441209071392,0.9661233526911767,-0.01723017391683684,0.0,0.0,1.5725377617939099e-15,62948.17258298744,29915.8993318102,33240.14829530632,-207.87504412906682,65155.419758401134,22354.331172455346,42639.7679800629,161.32060588288263
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,5,3,4,196,1.0,0.0,0.06363833572535522,1.0334987109601392,0.01647343604379389,0.0,0.0,1.2244115974437862e-15,71139.98421068361,35083.407562098655,36411.93559058357,-355.3589419986121,68834.1295990522,22740.626460844964,45845.193868620016,248.30926958723532
