normalization,mu_meV,nu_proxy,eta_baseline,eta_target,D_iso_baseline,D_iso_target,D_iso_rel_target_vs_baseline,geom_fraction_baseline,geom_fraction_target,geom_fraction_delta_target_vs_baseline,anisotropy_ratio_baseline,anisotropy_ratio_target,W_inter_baseline,W_inter_target
fixed_delta0,-5.0,-1.4829931972789114,0.0,1.0,47217.81156928494,44807.448091343744,-0.051047759263564196,0.5223233110065059,0.5334494312597411,0.011126120253235228,1.2069903849518364,1.0828431210675895,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,-4.0,-1.3333333333333335,0.0,1.0,61077.49272846766,62852.605466982626,0.029063287623913858,0.582254035574249,0.5708294461880161,-0.01142458938623292,1.2371527335453383,1.2861612070553696,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,-3.0,-1.0612244897959187,0.0,1.0,72613.95396039194,72099.33361731304,-0.007087072318904597,0.6051548866241803,0.6154263575146993,0.010271470890519052,1.1253139644055654,1.1495247443583496,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,-2.0,-0.8571428571428572,0.0,1.0,78911.452653582,78044.96102036242,-0.010980556105378625,0.6452618283237936,0.6523279578140809,0.007066129490287287,1.1259147733346038,1.1573838573660147,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,-1.0,-0.6530612244897962,0.0,1.0,80537.24205271601,81284.75892212332,0.009281629844215544,0.69353507599043,0.6786662122434146,-0.014868863747015348,1.0618603247962894,1.070278634929356,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,0.0,-0.38095238095238115,0.0,1.0,84272.932417637,85214.94843041094,0.011178156327888544,0.70812973521174,0.7040659679007366,-0.004063767311003441,1.0184396468006194,1.0049628685751686,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,1.0,-0.054421768707483054,0.0,1.0,87178.96603575785,87566.19271529792,0.004441744346695309,0.7289475349175623,0.7411401414650884,0.012192606547526186,1.019806856192747,1.0529283340908653,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,2.0,0.12244897959183687,0.0,1.0,85951.42475477903,86973.60148219741,0.011892493118463854,0.7275329265712619,0.7248753134126344,-0.0026576131586274476,1.0098998639628693,0.9866283252330151,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,3.0,0.39455782312925125,0.0,1.0,82734.4858176188,82768.0357857903,0.0004055137085816618,0.6967810168325395,0.7055162978655717,0.008735281033032227,1.0160527514401594,1.0342720032239758,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,4.0,0.6666666666666665,0.0,1.0,82302.91941969184,82258.9627148014,-0.0005340843945801366,0.6651859562238807,0.6785743747600917,0.013388418536211089,1.1046472390728075,1.0959893151511553,-6.0420300659872555e-18,0.10824164708279772
