eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,nu_proxy,interband_pairing_weight_mean,D_iso_raw,geom_fraction_total,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw,theta_deg,moire_cell_area_A2,moire_reciprocal_scale_Ainv,D_iso_eV_A2_per_flavor,D_iso_eV_A2_spin_valley,D_iso_cell_K_per_flavor,D_iso_cell_K_spin_valley,Dxx_total_eV_A2_per_flavor,Dxx_total_eV_A2_spin_valley,Dxx_total_cell_K_per_flavor,Dxx_total_cell_K_spin_valley,Dxx_conv_eV_A2_per_flavor,Dxx_conv_eV_A2_spin_valley,Dxx_conv_cell_K_per_flavor,Dxx_conv_cell_K_spin_valley,Dxx_geom_eV_A2_per_flavor,Dxx_geom_eV_A2_spin_valley,Dxx_geom_cell_K_per_flavor,Dxx_geom_cell_K_spin_valley,Dxx_cross_eV_A2_per_flavor,Dxx_cross_eV_A2_spin_valley,Dxx_cross_cell_K_per_flavor,Dxx_cross_cell_K_spin_valley,Dyy_total_eV_A2_per_flavor,Dyy_total_eV_A2_spin_valley,Dyy_total_cell_K_per_flavor,Dyy_total_cell_K_spin_valley,Dyy_conv_eV_A2_per_flavor,Dyy_conv_eV_A2_spin_valley,Dyy_conv_cell_K_per_flavor,Dyy_conv_cell_K_spin_valley,Dyy_geom_eV_A2_per_flavor,Dyy_geom_eV_A2_spin_valley,Dyy_geom_cell_K_per_flavor,Dyy_geom_cell_K_spin_valley,Dyy_cross_eV_A2_per_flavor,Dyy_cross_eV_A2_spin_valley,Dyy_cross_cell_K_per_flavor,Dyy_cross_cell_K_spin_valley
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,-6.0420300659872555e-18,47217.81156928494,0.5223233110065059,1.2069903849518364,0.09378853046355871,0.0,0.0,1.2616825034108476e-15,51646.300728073395,26683.85844152684,24962.44228654655,3.1379887350711365e-12,42789.32241049648,18425.83734234261,24363.48506815387,2.447747220332753e-13,1.05,15605.571114505186,0.05404738908671809,47.21781156928494,188.87124627713976,35.11181653795479,140.44726615181915,51.64630072807339,206.58520291229357,38.40490221295564,153.61960885182256,26.68385844152684,106.73543376610736,19.84248551521413,79.36994206085652,24.96244228654655,99.8497691461862,18.562416697741515,74.24966679096606,3.1379887350711365e-15,1.2551954940284546e-14,2.333451744207024e-15,9.333806976828097e-15,42.78932241049648,171.15728964198593,31.81873086295393,127.27492345181572,18.42583734234261,73.70334936937044,13.701707021580368,54.806828086321474,24.36348506815387,97.45394027261548,18.117023841373562,72.46809536549425,2.447747220332753e-16,9.790988881331012e-16,1.8201786248712832e-16,7.280714499485133e-16
0.25,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,0.00784264030618254,47137.502406362626,0.5252391175201272,1.1830437930670346,0.08384797118974413,0.0,0.0,1.3111899131903708e-15,51089.886350087814,26206.566251169606,24948.898333684065,-65.57823476586174,43185.11846263744,18609.70406497265,24568.02199835749,7.392399307304512,1.05,15605.571114505186,0.05404738908671809,47.13750240636263,188.5500096254505,35.052097535715404,140.20839014286162,51.089886350087816,204.35954540035127,37.99114480003017,151.96457920012068,26.206566251169605,104.82626500467842,19.48756445331292,77.95025781325168,24.948898333684063,99.79559333473625,18.55234522741493,74.20938090965971,-0.06557823476586173,-0.26231293906344694,-0.0487648806976832,-0.1950595227907328,43.18511846263744,172.74047385054976,32.11305027140064,128.45220108560255,18.60970406497265,74.4388162598906,13.838432854859361,55.353731419437445,24.56802199835749,98.27208799342996,18.26912032636224,73.07648130544897,0.007392399307304512,0.029569597229218047,0.005497090179042172,0.02198836071616869
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,0.030413556047206164,47236.26225898549,0.5351394810305318,1.1399065949511809,0.06537976717361006,0.0,0.0,1.3661018950767419e-15,50324.55808762954,25162.321678527707,25307.680797773108,-145.44438867127124,44147.96643034143,18880.64923647928,25248.296944418067,19.02024944408528,1.05,15605.571114505186,0.05404738908671809,47.23626225898549,188.94504903594196,35.125536725533024,140.5021469021321,50.32455808762954,201.29823235051816,37.42203613849646,149.68814455398584,25.162321678527707,100.64928671411083,18.711049773009357,74.84419909203743,25.30768079777311,101.23072319109244,18.819140820803344,75.27656328321338,-0.14544438867127124,-0.581777554685085,-0.1081544553162357,-0.4326178212649428,44.147966430341434,176.59186572136574,32.82903731256959,131.31614925027836,18.88064923647928,75.52259694591712,14.039911424865215,56.15964569946086,25.248296944418065,100.99318777767226,18.774982167637905,75.09992867055162,0.019020249444085282,0.07608099777634113,0.014143720066460773,0.05657488026584309
0.75,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,0.06509878715881894,47340.41373695065,0.5492931372666536,1.0829727280228734,0.03983380430603612,0.0,0.0,1.779186775723908e-15,49226.162513515126,23601.10604965486,25845.661342948602,-220.60487908833213,45454.66496038617,19257.685979452253,26161.86741919342,35.111561740510304,1.05,15605.571114505186,0.05404738908671809,47.34041373695065,189.3616549478026,35.20298520238807,140.81194080955228,49.22616251351513,196.9046500540605,36.60525402592828,146.42101610371313,23.60110604965486,94.40442419861944,17.550108278363094,70.20043311345238,25.845661342948603,103.38264537179441,19.219190581167048,76.87676232466819,-0.22060487908833212,-0.8824195163533285,-0.16404483360185762,-0.6561793344074305,45.454664960386175,181.8186598415447,33.80071637884786,135.20286551539144,19.257685979452255,77.03074391780902,14.320281152037127,57.28112460814851,26.16186741919342,104.64746967677368,19.454325784775612,77.81730313910245,0.035111561740510305,0.14044624696204122,0.026109442035128612,0.10443776814051445
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,0.1082416470827977,47481.12755195488,0.5637000745015011,1.0239401341035015,0.011828479360683153,0.0,0.0,1.1742150134358084e-15,48042.757089225146,21881.2688020847,26423.287049565843,-261.79876242539115,46919.49801468462,19757.744435049146,27106.94322733864,54.81035229683878,1.05,15605.571114505186,0.05404738908671809,47.48112755195488,189.9245102078195,35.3076219378186,141.2304877512744,48.04275708922515,192.1710283569006,35.725257415184906,142.90102966073962,21.8812688020847,87.5250752083388,16.271213558237907,65.08485423295163,26.423287049565843,105.69314819826337,19.64872103089132,78.59488412356528,-0.26179876242539113,-1.0471950497015645,-0.19467717394432288,-0.7787086957772915,46.91949801468462,187.67799205873848,34.88998646045231,139.55994584180925,19.757744435049148,79.03097774019659,14.692131523065177,58.76852609226071,27.10694322733864,108.42777290935456,20.157097202747043,80.62838881098817,0.05481035229683878,0.21924140918735513,0.04075773464010239,0.16303093856040957
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,-6.0420300659872555e-18,47217.81156928494,0.5223233110065059,1.2069903849518364,0.09378853046355871,0.0,0.0,1.2616825034108476e-15,51646.300728073395,26683.85844152684,24962.44228654655,3.1379887350711365e-12,42789.32241049648,18425.83734234261,24363.48506815387,2.447747220332753e-13,1.05,15605.571114505186,0.05404738908671809,47.21781156928494,188.87124627713976,35.11181653795479,140.44726615181915,51.64630072807339,206.58520291229357,38.40490221295564,153.61960885182256,26.68385844152684,106.73543376610736,19.84248551521413,79.36994206085652,24.96244228654655,99.8497691461862,18.562416697741515,74.24966679096606,3.1379887350711365e-15,1.2551954940284546e-14,2.333451744207024e-15,9.333806976828097e-15,42.78932241049648,171.15728964198593,31.81873086295393,127.27492345181572,18.42583734234261,73.70334936937044,13.701707021580368,54.806828086321474,24.36348506815387,97.45394027261548,18.117023841373562,72.46809536549425,2.447747220332753e-16,9.790988881331012e-16,1.8201786248712832e-16,7.280714499485133e-16
0.25,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,0.007842640306182558,46904.876599989264,0.5220839471740305,1.1891701433625665,0.08641180491891831,0.0,0.0,1.3578929458515214e-15,50958.01164649347,26320.40416895967,24702.83292572561,-65.22544819180555,42851.74155348505,18571.195725306403,24273.733308340816,6.812519837825265,1.05,15605.571114505186,0.05404738908671809,46.904876599989265,187.61950639995706,34.879113774632145,139.51645509852858,50.95801164649347,203.83204658597387,37.893080949870416,151.57232379948167,26.32040416895967,105.28161667583868,19.57221590054576,78.28886360218304,24.70283292572561,98.81133170290244,18.369367593055557,73.47747037222223,-0.06522544819180555,-0.2609017927672222,-0.04850254373089816,-0.19401017492359263,42.85174155348505,171.4069662139402,31.865146599393874,127.4605863975755,18.571195725306403,74.28478290122561,13.80979752186519,55.23919008746076,24.273733308340816,97.09493323336326,18.050283193728543,72.20113277491417,0.006812519837825265,0.02725007935130106,0.005065883800139885,0.02026353520055954
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,0.030413556047206188,46422.360126588464,0.5235122919176135,1.1634276055654946,0.0755410558435472,0.0,0.0,1.1541042540965622e-15,49929.15422530034,25654.16469946296,24422.163599969575,-147.17407413219652,42915.566027876586,18716.992319248482,24183.18869222075,15.385016407360242,1.05,15605.571114505186,0.05404738908671809,46.422360126588465,185.68944050635386,34.52030786373707,138.08123145494827,49.929154225300344,199.71661690120138,37.128008367808064,148.51203347123226,25.65416469946296,102.61665879785184,19.076791033406643,76.30716413362657,24.422163599969576,97.6886543998783,18.160658007705187,72.64263203082075,-0.14717407413219652,-0.5886962965287861,-0.1094406733037691,-0.4377626932150764,42.91556602787659,171.66226411150635,31.912607359666058,127.65042943866423,18.716992319248483,74.86796927699393,13.918213881883089,55.672855527532356,24.18318869222075,96.732754768883,17.982952967188027,71.9318118687521,0.015385016407360242,0.06154006562944097,0.011440510594947884,0.045762042379791534
0.75,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,0.06509878715881898,45725.819357268614,0.5271857197185665,1.1280354533137191,0.06016603394193729,0.0,0.0,1.471703645707136e-15,48476.96055674093,24597.053469869,24124.13027285651,-244.22318598459384,42974.6781577963,18860.974681222644,24087.86770230913,25.83577426452862,1.05,15605.571114505186,0.05404738908671809,45.72581935726861,182.90327742907445,34.00235053173158,136.00940212692632,48.476960556740934,193.90784222696374,36.04813710792939,144.19254843171757,24.597053469869,98.388213879476,18.290708529365745,73.16283411746298,24.124130272856508,96.49652109142603,17.939036311230854,71.75614524492342,-0.24422318598459383,-0.9768927439383753,-0.18160773266722005,-0.7264309306688802,42.9746781577963,171.8987126311852,31.95656395553377,127.82625582213508,18.860974681222643,75.44389872489057,14.025281153963668,56.10112461585467,24.08786770230913,96.35147080923652,17.912070963156943,71.64828385262777,0.02583577426452862,0.10334309705811448,0.019211838413160078,0.07684735365264031
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,0.10824164708279772,44807.448091343744,0.5334494312597411,1.0828431210675895,0.039774057023136314,0.0,0.0,1.4063826505702706e-15,46589.62208679007,23113.55995351857,23821.017431442993,-344.9552981714882,43025.27409589742,19002.80412581546,23983.997969612392,38.47200046957387,1.05,15605.571114505186,0.05404738908671809,44.807448091343744,179.22979236537498,33.31943698001884,133.27774792007537,46.58962208679007,186.3584883471603,34.64468616644091,138.57874466576365,23.113559953518568,92.45423981407427,17.187562270566556,68.75024908226622,23.821017431442993,95.28406972577197,17.7136374177986,70.8545496711944,-0.34495529817148823,-1.379821192685953,-0.25651352192424803,-1.0260540876969921,43.025274095897416,172.10109638358966,31.994187793596772,127.97675117438709,19.00280412581546,76.01121650326183,14.130747486957855,56.52298994783142,23.983997969612393,95.93599187844957,17.834831995973072,71.33932798389229,0.03847200046957387,0.1538880018782955,0.028608310665852506,0.11443324266341003
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-4.0,-1.3333333333333335,-6.0420300659872555e-18,61077.49272846766,0.582254035574249,1.2371527335453383,0.10600650102664622,0.0,0.0,1.3270864623711207e-15,67552.10402409294,31255.54338878417,36296.56063530877,8.306099572313987e-13,54602.881432842376,19774.20882033686,34828.67261250552,2.7957681521336187e-12,1.05,15605.571114505186,0.05404738908671809,61.07749272846766,244.30997091387064,45.4180667846801,181.6722671387204,67.55210402409294,270.20841609637176,50.23267712791858,200.9307085116743,31.25554338878417,125.02217355513667,23.24205355537817,92.96821422151268,36.29656063530877,145.1862425412351,26.990623572540407,107.96249429016163,8.306099572313987e-16,3.3224398289255948e-15,6.176530309989757e-16,2.470612123995903e-15,54.60288143284237,218.4115257313695,40.60345644144162,162.4138257657665,19.77420882033686,79.09683528134744,14.704374667260542,58.817498669042166,34.82867261250552,139.31469045002208,25.899081774181084,103.59632709672434,2.7957681521336187e-15,1.1183072608534475e-14,2.0789717942842618e-15,8.315887177137047e-15
0.25,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-4.0,-1.3333333333333335,0.00784264030618254,61827.25868827207,0.5827265095772802,1.2450227216806513,0.10914041952200125,0.0,0.0,1.4389446493402672e-15,68575.11163940538,31652.493994172786,36833.34303724617,89.27460798641805,55079.40573713876,19863.764240097742,35223.42226705055,-7.780770009525227,1.05,15605.571114505186,0.05404738908671809,61.827258688272074,247.3090347530883,45.97560310311848,183.90241241247392,68.57511163940538,274.3004465576215,50.99339971356984,203.97359885427937,31.652493994172787,126.60997597669115,23.53723150555877,94.14892602223507,36.83334303724617,147.3333721489847,27.389782377051567,109.55912950820627,0.08927460798641805,0.3570984319456722,0.06638583095951843,0.2655433238380737,55.079405737138764,220.31762294855506,40.9578064926671,163.8312259706684,19.86376424009774,79.45505696039096,14.770969313732236,59.08387725492894,35.223422267050545,140.89368906820218,26.19262306692965,104.7704922677186,-0.007780770009525227,-0.03112308003810091,-0.005785887994779165,-0.02314355197911666
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-4.0,-1.3333333333333335,0.030413556047206164,63334.94055200195,0.5877132890371642,1.2561391292643502,0.1135298466047475,0.0,0.0,1.393939512836144e-15,70525.34663759153,32147.493936255356,38154.531002602766,223.321698733424,56144.53446641236,19863.437594711522,36291.041442977905,-9.944571277055822,1.05,15605.571114505186,0.05404738908671809,63.33494055200195,253.3397622080078,47.0967361509559,188.3869446038236,70.52534663759153,282.1013865503661,52.44362138175818,209.7744855270327,32.14749393625536,128.58997574502143,23.905320296103376,95.6212811844135,38.154531002602766,152.61812401041107,28.372235987458414,113.48894394983365,0.223321698733424,0.893286794933696,0.16606509819639953,0.6642603927855981,56.14453446641236,224.57813786564944,41.7498509201536,166.9994036806144,19.863437594711524,79.4537503788461,14.770726415713614,59.08290566285446,36.29104144297791,145.16416577191163,26.98651942492919,107.94607769971677,-0.009944571277055822,-0.03977828510822329,-0.007394920489193832,-0.02957968195677533
