eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,nu_proxy,interband_pairing_weight_mean,D_iso_raw,geom_fraction_total,anisotropy_norm,raw_partner_alignment_error_mean,raw_partner_alignment_error_max,best_partner_alignment_error_mean,best_partner_alignment_error_max,partner_min_singular_value_mean,partner_min_singular_value_min,partner_mean_singular_value_mean,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,-4.0,-1.3251028806584362,1.8275276125516916e-18,60859.24969255264,0.6029396962811328,0.06607370223390714,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.130877602734928e-15,64880.44563491737,27895.435026882416,36985.01060803495,-4.140446558997127e-13,56838.053750187915,20434.149307172236,36403.90444301567,1.8189894035458565e-12
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,0.0,-0.3539094650205761,1.8275276125516916e-18,83311.42938123674,0.7190800160357849,0.039824984867604205,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.6709632427389906e-15,86629.30579564297,29417.85750947078,57211.4482861722,-2.1333826337883504e-12,79993.55296683051,17389.833302154955,62603.71966467554,3.121475643121902e-12
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,2.0,0.10699588477366273,1.8275276125516916e-18,82650.97528292186,0.7683654334590646,0.026881602537038207,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.2752540150653228e-15,84872.76594977595,22543.696743564815,62329.06920621114,1.796532744242821e-13,80429.1846160678,15745.948924125578,64683.23569194223,-9.43179690727481e-13
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,4.0,0.6995884773662553,1.8275276125516916e-18,80278.78405570664,0.6890269533742,0.037937615466061975,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.241922306496039e-15,83324.36969529506,28570.53640024458,54753.83329505048,3.862545400122066e-12,77233.1984161182,21358.539714191007,55874.6587019272,-2.627429138455126e-12
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,-4.0,-1.3251028806584362,0.10729542571944178,64537.80979557417,0.6341356534171585,0.05475821846881021,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.1796023753412668e-15,68071.78528385874,26550.404775891773,41494.56051042691,26.81999754005036,61003.8343072896,20722.99182073586,40356.89185923052,-76.04937267678257
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,0.0,-0.3539094650205761,0.10729542571944178,90500.87185736667,0.7304582295457911,0.043957524542822216,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4086943093014596e-15,94479.06615318367,30597.952058454044,63565.606692616486,315.5074021131431,86522.67756154966,18052.747111374443,68648.60656594865,-178.6761157734295
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,2.0,0.10699588477366273,0.10729542571944178,87963.14486829145,0.8019789089903562,0.030161945927990586,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.6808948711167368e-15,90616.28448746486,21051.179933292737,69721.73611876549,-156.63156459337088,85310.00524911804,14307.256848264762,71367.43778690054,-364.6893860472492
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,4.0,0.6995884773662553,0.10729542571944178,85139.05359014694,0.7249443318796756,0.03964068525111823,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.6268754915322246e-15,88514.02401609205,27507.679732437533,60981.05600124079,25.288282413735132,81764.08316420185,19218.378709290377,62461.092642313146,84.61181259830718
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,-4.0,-1.3251028806584362,1.8275276125516916e-18,60859.24969255264,0.6029396962811328,0.06607370223390714,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.130877602734928e-15,64880.44563491737,27895.435026882416,36985.01060803495,-4.140446558997127e-13,56838.053750187915,20434.149307172236,36403.90444301567,1.8189894035458565e-12
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,0.0,-0.3539094650205761,1.8275276125516916e-18,83311.42938123674,0.7190800160357849,0.039824984867604205,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.6709632427389906e-15,86629.30579564297,29417.85750947078,57211.4482861722,-2.1333826337883504e-12,79993.55296683051,17389.833302154955,62603.71966467554,3.121475643121902e-12
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,2.0,0.10699588477366273,1.8275276125516916e-18,82650.97528292186,0.7683654334590646,0.026881602537038207,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.2752540150653228e-15,84872.76594977595,22543.696743564815,62329.06920621114,1.796532744242821e-13,80429.1846160678,15745.948924125578,64683.23569194223,-9.43179690727481e-13
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,4.0,0.6995884773662553,1.8275276125516916e-18,80278.78405570664,0.6890269533742,0.037937615466061975,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.241922306496039e-15,83324.36969529506,28570.53640024458,54753.83329505048,3.862545400122066e-12,77233.1984161182,21358.539714191007,55874.6587019272,-2.627429138455126e-12
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,-4.0,-1.3251028806584362,0.10729542571944178,60442.94541088508,0.6026583840085215,0.07075390141209671,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.6607264337449774e-15,64719.51961154358,27834.95502785284,36847.2934036075,37.271180083225275,56166.37121022657,20154.9857622508,36005.60220847106,5.783239504705408
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,0.0,-0.3539094650205761,0.10729542571944178,84172.29406190346,0.7124795797682557,0.05267579476099836,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4695743142849551e-15,88606.13654847069,30498.579335329818,57736.79904030576,370.75817283511793,79738.45157533624,17664.565294995802,62205.2823624043,-131.3960820638745
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,2.0,0.10699588477366273,0.10729542571944178,82412.24884106594,0.7712435397504774,0.025491614154611732,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.5667408592394475e-15,84513.07009013624,22546.616981151743,62118.13076322795,-151.67765424345038,80311.42759199564,15647.953337289353,65001.69826673381,-338.2240120275322
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,4.0,0.6995884773662553,0.10729542571944178,80139.46973860246,0.6978602336028743,0.03341892353738063,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.6389128249212105e-15,82817.64455012305,27861.58426702152,54945.059637108425,11.000645993083472,77461.29492708188,20434.067037410416,56907.23850807476,119.98938159668785
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,same_valley,9,3,6,196,1.0,-4.0,-1.3251028806584362,0.830805277326124,54068.20497404433,0.9302034643369473,0.11165094379741186,1.4154551749429836,1.4462649444978812,1.3381271398143373,1.3909496366878416,0.01837556323169231,0.002083692709841653,0.10445673172027807,0.0,0.0,0.005991594834048668,60104.9710888283,5246.088669960412,54758.4811667028,100.401252165107,48031.438859260365,2124.5383039581125,45830.38198796962,76.51856733263516
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,same_valley,9,3,6,196,1.0,0.0,-0.3539094650205761,0.830805277326124,111414.55710636999,0.7573026612763345,-0.20669746829755373,1.4154551749429836,1.4462649444978812,1.3381271398143373,1.3909496366878416,0.01837556323169231,0.002083692709841653,0.10445673172027807,0.0,0.0,0.01273106383851138,88385.4502209901,11273.890418917155,77146.88700929238,-35.327207219437966,134443.6639917499,42249.0344997295,91602.19419386389,592.4352981564944
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,same_valley,9,3,6,196,1.0,2.0,0.10699588477366273,0.830805277326124,106381.7548797057,0.8245309625396868,-0.12850619744460764,1.4154551749429836,1.4462649444978812,1.3381271398143373,1.3909496366878416,0.01837556323169231,0.002083692709841653,0.10445673172027807,0.0,0.0,0.023678792927624422,92711.04008263038,3223.4790151746647,89590.30583267656,-102.74476522084656,120052.46967678101,35953.89943875258,85839.79566257296,-1741.2254245445508
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,same_valley,9,3,6,196,1.0,4.0,0.6995884773662553,0.830805277326124,82069.24117276954,0.9615635678177542,0.0431600349883732,1.4154551749429836,1.4462649444978812,1.3381271398143373,1.3909496366878416,0.01837556323169231,0.002083692709841653,0.10445673172027807,0.0,0.0,0.012414218402713374,85611.35249325552,3555.8954111494836,81862.72342854537,192.73365356065275,78527.12985228357,2298.6673840787294,75966.86127182265,261.6011963822005
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,same_valley,9,3,6,196,1.0,-4.0,-1.3251028806584362,0.8147614408288447,71564.0136985388,0.6901779070194731,-0.007095444515692411,1.4154551749429836,1.4462649444978812,1.3381271398143373,1.3909496366878416,0.01837556323169231,0.002083692709841653,0.10445673172027807,0.0,0.0,0.003604594358354835,71056.23521002056,18725.188219095944,52877.099950596,-546.0529596713799,72071.79218705703,25912.670967360653,45906.70243414482,252.4187855515308
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,same_valley,9,3,6,196,1.0,0.0,-0.3539094650205761,0.8147614408288447,115547.4294186085,0.7307934684180889,-0.1684433665745821,1.4154551749429836,1.4462649444978812,1.3381271398143373,1.3909496366878416,0.01837556323169231,0.002083692709841653,0.10445673172027807,0.0,0.0,0.016599257628501774,96084.23140829918,18902.811235812227,77075.28900133217,106.13117115476726,135010.62742891783,44865.65045167496,91807.32442190626,-1662.3474446633948
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,same_valley,9,3,6,196,1.0,2.0,0.10699588477366273,0.8147614408288447,99998.75421317286,0.9033569628623035,-0.050152653784044175,1.4154551749429836,1.4462649444978812,1.3381271398143373,1.3909496366878416,0.01837556323169231,0.002083692709841653,0.10445673172027807,0.0,0.0,0.013616291619418507,94983.55131428388,6045.169733229092,89097.60102154997,-159.21944049519595,105013.95711206185,12712.502199534094,91571.54077050164,729.9141420260986
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,same_valley,9,3,6,196,1.0,4.0,0.6995884773662553,0.8147614408288447,81790.34504981183,0.9641255695712521,0.03268598954042703,1.4154551749429836,1.4462649444978812,1.3381271398143373,1.3909496366878416,0.01837556323169231,0.002083692709841653,0.10445673172027807,0.0,0.0,0.012447986383662136,84463.7434126179,2525.9605659803224,81615.18148469541,322.6013619421794,79116.94668700577,2927.3218736301196,76097.14452846273,92.48028491292187
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,same_valley,9,3,6,196,1.0,-4.0,-1.3251028806584362,0.830805277326124,54068.20497404433,0.9302034643369473,0.11165094379741186,1.4154551749429836,1.4462649444978812,1.3381271398143373,1.3909496366878416,0.01837556323169231,0.002083692709841653,0.10445673172027807,0.0,0.0,0.005991594834048668,60104.9710888283,5246.088669960412,54758.4811667028,100.401252165107,48031.438859260365,2124.5383039581125,45830.38198796962,76.51856733263516
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,same_valley,9,3,6,196,1.0,0.0,-0.3539094650205761,0.830805277326124,111414.55710636999,0.7573026612763345,-0.20669746829755373,1.4154551749429836,1.4462649444978812,1.3381271398143373,1.3909496366878416,0.01837556323169231,0.002083692709841653,0.10445673172027807,0.0,0.0,0.01273106383851138,88385.4502209901,11273.890418917155,77146.88700929238,-35.327207219437966,134443.6639917499,42249.0344997295,91602.19419386389,592.4352981564944
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,same_valley,9,3,6,196,1.0,2.0,0.10699588477366273,0.830805277326124,106381.7548797057,0.8245309625396868,-0.12850619744460764,1.4154551749429836,1.4462649444978812,1.3381271398143373,1.3909496366878416,0.01837556323169231,0.002083692709841653,0.10445673172027807,0.0,0.0,0.023678792927624422,92711.04008263038,3223.4790151746647,89590.30583267656,-102.74476522084656,120052.46967678101,35953.89943875258,85839.79566257296,-1741.2254245445508
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,same_valley,9,3,6,196,1.0,4.0,0.6995884773662553,0.830805277326124,82069.24117276954,0.9615635678177542,0.0431600349883732,1.4154551749429836,1.4462649444978812,1.3381271398143373,1.3909496366878416,0.01837556323169231,0.002083692709841653,0.10445673172027807,0.0,0.0,0.012414218402713374,85611.35249325552,3555.8954111494836,81862.72342854537,192.73365356065275,78527.12985228357,2298.6673840787294,75966.86127182265,261.6011963822005
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,same_valley,9,3,6,196,1.0,-4.0,-1.3251028806584362,0.8147614408288446,68798.89343860031,0.7178090771153759,0.004793873574526332,1.4154551749429836,1.4462649444978812,1.3381271398143373,1.3909496366878416,0.01837556323169231,0.002083692709841653,0.10445673172027807,0.0,0.0,0.006811730891522743,69128.70663581227,16854.87176941566,52709.0642983531,-435.22943195648696,68469.08024138835,21999.05943932522,46059.87611308846,410.14468897466907
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,same_valley,9,3,6,196,1.0,0.0,-0.3539094650205761,0.8147614408288446,113944.62461745713,0.7394414058926865,-0.1464032259511668,1.4154551749429836,1.4462649444978812,1.3381271398143373,1.3909496366878416,0.01837556323169231,0.002083692709841653,0.10445673172027807,0.0,0.0,0.023505575302768308,97262.76399366667,20306.703189160562,76781.20362053419,174.8571839719357,130626.48524124759,40613.26405302666,91729.54322155965,-1716.322033338702
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,same_valley,9,3,6,196,1.0,2.0,0.10699588477366273,0.8147614408288446,103292.00055726184,0.90383128101332,-0.05461170354548011,1.4154551749429836,1.4462649444978812,1.3381271398143373,1.3909496366878416,0.01837556323169231,0.002083692709841653,0.10445673172027807,0.0,0.0,0.02141225680327856,97651.0484442091,8520.638858257777,89282.03540858357,-151.625822632254,108932.9526703146,10851.247912146593,97435.04695561348,646.6578025545392
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,same_valley,9,3,6,196,1.0,4.0,0.6995884773662553,0.8147614408288446,83705.91619063998,0.9420360406470683,0.030199841623354293,1.4154551749429836,1.4462649444978812,1.3381271398143373,1.3909496366878416,0.01837556323169231,0.002083692709841653,0.10445673172027807,0.0,0.0,0.016329939735561544,86233.82160253508,4239.62963057166,81461.70837820123,532.483593762169,81178.0107787449,4757.677700502515,76246.2713557304,174.06172251199175
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,time_reversed_valley,9,3,6,196,1.0,-4.0,-1.3251028806584362,0.7796182600786289,68452.23028068134,0.7189051102980942,0.020276013751408105,1.4147287673319455,1.4352857017915213,1.375168691461797,1.3818411297044482,0.008382844597422893,0.0002274252896963874,0.05444457581969696,0.0,0.0,0.0016596221283957564,69840.168643167,17115.68304549894,52503.315468661014,221.1701290070476,67064.2919181957,21189.73276986047,45918.00085150652,-43.44170317129333
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,time_reversed_valley,9,3,6,196,1.0,0.0,-0.3539094650205761,0.7796182600786289,87748.63699663474,0.9633339714209518,-0.08493260104436556,1.4147287673319455,1.4352857017915213,1.375168691461797,1.3818411297044482,0.008382844597422893,0.0002274252896963874,0.05444457581969696,0.0,0.0,0.007121794663036993,80295.9170184127,2916.805856627295,77369.41604269216,9.695119093224307,95201.35697485677,3064.9636745500047,91693.06988679506,443.3234135117
