normalization,mu_meV,nu_proxy,eta_baseline,eta_target,D_iso_baseline,D_iso_target,D_iso_rel_target_vs_baseline,geom_fraction_baseline,geom_fraction_target,geom_fraction_delta_target_vs_baseline,anisotropy_ratio_baseline,anisotropy_ratio_target,W_inter_baseline,W_inter_target
fixed_delta0,-4.0,-1.3251028806584362,0.0,1.0,60859.24969255264,60442.94541088508,-0.006840443872881186,0.6029396962811328,0.6026583840085215,-0.00028131227261130043,1.141496609297655,1.1522823749695918,1.8275276125516916e-18,0.10729542571944178
fixed_delta0,0.0,-0.3539094650205761,0.0,1.0,83311.42938123674,84172.29406190346,0.01033309219467804,0.7190800160357849,0.7124795797682557,-0.006600436267529153,1.0829535954174205,1.1112096460106997,1.8275276125516916e-18,0.10729542571944178
fixed_delta0,2.0,0.10699588477366273,0.0,1.0,82650.97528292186,82412.24884106594,-0.002888368117118234,0.7683654334590646,0.7712435397504774,0.0028781062914128297,1.0552483697916344,1.0523168697671035,1.8275276125516916e-18,0.10729542571944178
fixed_delta0,4.0,0.6995884773662553,0.0,1.0,80278.78405570664,80139.46973860246,-0.0017353815051247556,0.6890269533742,0.6978602336028743,0.008833280228674356,1.0788672669796575,1.0691487229600714,1.8275276125516916e-18,0.10729542571944178
fixed_frobenius_norm,-4.0,-1.3251028806584362,0.0,1.0,60859.24969255264,64537.80979557417,0.060443730765738835,0.6029396962811328,0.6341356534171585,0.031195957136025743,1.141496609297655,1.1158607660785111,1.8275276125516916e-18,0.10729542571944178
fixed_frobenius_norm,0.0,-0.3539094650205761,0.0,1.0,83311.42938123674,90500.87185736667,0.08629599239296115,0.7190800160357849,0.7304582295457911,0.01137821351000623,1.0829535954174205,1.0919572627184828,1.8275276125516916e-18,0.10729542571944178
fixed_frobenius_norm,2.0,0.10699588477366273,0.0,1.0,82650.97528292186,87963.14486829145,0.06427231580977155,0.7683654334590646,0.8019789089903562,0.03361347553129157,1.0552483697916344,1.062199963800866,1.8275276125516916e-18,0.10729542571944178
fixed_frobenius_norm,4.0,0.6995884773662553,0.0,1.0,80278.78405570664,85139.05359014694,0.06054239101414005,0.6890269533742,0.7249443318796756,0.035917378505475606,1.0788672669796575,1.0825538621687314,1.8275276125516916e-18,0.10729542571944178
