eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,interband_pairing_weight_mean,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,2,196,1.0,0.0,0.0,1.1242674207942946,0.05849895336992422,0.0,0.0,6.221572577749702e-16,31070.997106890096,22394.22944178675,8676.76766510334,8.995072260738514e-13,27636.66057755053,18734.56020359363,8902.100373956908,-9.719124598099281e-13
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,2,196,1.0,0.0,0.006942618980980108,1.1115393217137237,0.0528237009686367,0.0,0.0,1.101614810072834e-15,32349.908870534666,23146.02664020986,9273.041826720868,-69.15959639605943,29103.70172119414,19497.330719849942,9562.146285794212,44.22471554998655
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,2,196,1.0,0.0,0.0282814866489665,1.0427353434295288,0.02092064621439443,0.0,0.0,1.1451311886942044e-15,32982.753683945666,23086.476805706214,10086.980120612376,-190.70324237292203,31630.992362324912,21033.10754121121,10514.722508768436,83.16231234526403
