nk,n_shell,n_keep,direction,dimension,dk_Ainv,velocity_hermiticity_error_mean,velocity_hermiticity_error_max,decomposition_error_mean,decomposition_error_max,offdiag_velocity_weight_mean,offdiag_velocity_weight_std,offdiag_velocity_weight_min,offdiag_velocity_weight_max,intra_velocity_norm_mean,inter_velocity_norm_mean,total_velocity_norm_mean
3,3,2,x,196,1e-06,2.5610579413383217e-15,4.5962687804460995e-15,0.0,0.0,0.554660668024652,0.40289187354003686,3.4380192316401516e-24,0.9928465810374008,113.64190620369946,227.4793406384027,282.32565322222797
3,3,2,y,196,1e-06,6.656768057506953e-16,1.7180096309763195e-15,0.0,0.0,0.4640192394721677,0.454594120867533,0.00012011683923639052,1.0,104.46482041147821,172.05208608657844,253.43308374810775
3,3,4,x,196,1e-06,1.9444570103300103e-15,3.154697693168105e-15,0.0,0.0,0.7845120165275711,0.1753241504939977,0.42633190795349674,0.9520393965195225,237.2799842701334,475.1629051066163,544.0066402197273
3,3,4,y,196,1e-06,5.379721530199264e-16,7.612733528271351e-16,0.0,0.0,0.7506397985244121,0.18948366919733184,0.4586389700513591,1.0,204.3446196203372,449.59813318128954,516.8118685515251
3,3,6,x,196,1e-06,1.405304710130298e-15,2.2830999996260842e-15,0.0,0.0,0.7490132365745796,0.22915209897970903,0.3679609779859599,0.9628234243325052,358.7172937808356,731.5862297266117,844.5318295897993
3,3,6,y,196,1e-06,7.088469556824607e-16,1.2326663590623694e-15,0.0,0.0,0.8356280672353318,0.16044665824148094,0.5299532966329208,1.0,262.9813982743692,731.2906407162814,800.5329933628256
