mode,n_keep,current_total_eV_A2,benchmark_total_eV_A2,total_scale_needed,current_conv_eV_A2,benchmark_conv_eV_A2,conv_scale_needed,current_geom_eV_A2,benchmark_geom_eV_A2,geom_scale_needed,least_squares_conv_scale_for_total,least_squares_geom_scale_for_total,least_squares_total_eV_A2,least_squares_relative_error
intra_tauz_inter_tau0,2,29.342464480315314,67.5,2.300420267877739,20.945303834998196,53.0,2.530400151629243,8.397160645317118,14.5,1.7267741576536682,2.847387444742607,0.9361027097046881,67.49999999999996,-6.661338147750939e-16
all_tauz,2,33.45020231942757,67.5,2.0179250144862837,20.945303834998196,53.0,2.530400151629243,12.504898484429377,14.5,1.1595455987151633,2.7598793348267163,0.7751753279878038,67.50000000000003,4.440892098500626e-16
all_tau0,2,8.397160645317118,67.5,8.03843142356018,1.354767270282991e-32,53.0,nan,8.397160645317118,14.5,1.7267741576536682,2.3621878092885973e-32,2.2727013513216128,19.08423834587688,-0.7172705430240462
intra_tauz_inter_tau0,6,85.6040299535424,129.3,1.5104429087061857,25.72397230906164,54.0,2.099209225978591,59.88005764448075,75.3,1.2575138194934676,2.847387444742607,0.9361027097046881,129.29999999999995,-4.440892098500626e-16
all_tauz,6,100.93913758775255,129.3,1.280969929900497,25.72397230906164,54.0,2.099209225978591,75.21516527869093,75.3,1.0011278938362327,2.7598793348267163,0.7751753279878038,129.3,0.0
all_tau0,6,59.88005764448075,129.3,2.1593165585724483,6.327174621190149e-31,54.0,nan,59.88005764448075,75.3,1.2575138194934676,2.3621878092885973e-32,2.2727013513216128,136.08948792582748,0.05250957405899048
