normalization,mu_meV,nu_proxy,eta_baseline,eta_target,D_iso_baseline,D_iso_target,D_iso_rel_target_vs_baseline,geom_fraction_baseline,geom_fraction_target,geom_fraction_delta_target_vs_baseline,anisotropy_ratio_baseline,anisotropy_ratio_target,W_inter_baseline,W_inter_target
fixed_delta0,-4.0,-1.3254437869822486,0.0,1.0,61396.48653246244,62146.75913851001,0.012220122818442869,0.5993104042699813,0.5912291888856851,-0.008081215384296181,1.1993689902625406,1.2192619700019307,-5.25549360769305e-18,0.10867549702620576
fixed_delta0,0.0,-0.3865877712031558,0.0,1.0,84438.92605120914,86094.18374992008,0.019603016951057484,0.6992922908621821,0.6861008811021118,-0.013191409760070383,1.0820493742086785,1.1302258155799716,-5.25549360769305e-18,0.10867549702620576
fixed_delta0,2.0,0.11045364891518705,0.0,1.0,86133.95975326152,86344.73941714707,0.0024471145235787084,0.722095067945975,0.7246250510234657,0.0025299830774907495,1.0228262853868797,1.0282997661507147,-5.25549360769305e-18,0.10867549702620576
fixed_delta0,4.0,0.6863905325443787,0.0,1.0,83151.8104437628,83246.97933091703,0.001144519724180837,0.6671298222693287,0.6756758335294646,0.008546011260135877,1.066025247403284,1.0524255804883607,-5.25549360769305e-18,0.10867549702620576
fixed_frobenius_norm,-4.0,-1.3254437869822486,0.0,1.0,61396.48653246244,66747.23482589377,0.08715072466894669,0.5993104042699813,0.6165354956864677,0.017225091416486427,1.1993689902625406,1.1997188555671938,-5.25549360769305e-18,0.10867549702620574
fixed_frobenius_norm,0.0,-0.3865877712031558,0.0,1.0,84438.92605120914,92992.6197240192,0.10130036077937032,0.6992922908621821,0.6996337281967197,0.0003414373345375088,1.0820493742086785,1.1358830567186602,-5.25549360769305e-18,0.10867549702620574
fixed_frobenius_norm,2.0,0.11045364891518705,0.0,1.0,86133.95975326152,93065.77217031043,0.08047711305628713,0.722095067945975,0.7456322962141397,0.023537228268164734,1.0228262853868797,1.0225186710503422,-5.25549360769305e-18,0.10867549702620574
fixed_frobenius_norm,4.0,0.6863905325443787,0.0,1.0,83151.8104437628,89567.37031888464,0.07715478281090227,0.6671298222693287,0.6917679345812437,0.02463811231191504,1.066025247403284,1.0559196487414697,-5.25549360769305e-18,0.10867549702620574
