normalization,eta_min,eta_max,W_pair_min,W_pair_max,D_iso_min,D_iso_max,D_iso_relative_change,anisotropy_ratio_min,anisotropy_ratio_max,geom_fraction_min,geom_fraction_max
fixed_frobenius_norm,0.0,1.0,-6.0420300659872555e-18,0.1082416470827977,84272.932417637,91157.77950600482,0.08169701576596537,0.9774374087336946,1.0184396468006194,0.7078866013947338,0.7263526349205286
fixed_delta0,0.0,1.0,-6.0420300659872555e-18,0.10824164708279772,84272.932417637,85214.94843041094,0.011178156327888588,1.0049628685751686,1.0184396468006194,0.7040534217582782,0.70812973521174
