m1,normalization,mu_meV,eta_baseline,eta_target,D_iso_baseline,D_iso_target,D_iso_rel_target_vs_baseline,D_iso_rel_percent,W_inter_baseline,W_inter_target,geom_fraction_baseline,geom_fraction_target,anisotropy_norm_baseline,anisotropy_norm_target,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error
tau0_sigmax,fixed_delta0,-4.0,0.0,1.0,61077.49272846766,60891.01326602275,-0.003053161714969943,-0.3053161714969943,-6.0420300659872555e-18,0.017888646319889137,0.582254035574249,0.5831408491245219,0.10600650102664622,0.10139728475656473,0.0,0.0,1.3270864623711207e-15
tau0_sigmax,fixed_delta0,0.0,0.0,1.0,84272.932417637,84633.30925364338,0.0042763058750636684,0.42763058750636684,-6.0420300659872555e-18,0.017888646319889137,0.70812973521174,0.709676627185799,0.009135594829326509,-0.003777507288680748,0.0,0.0,1.2983082379475089e-15
tau0_sigmax,fixed_delta0,2.0,0.0,1.0,85951.42475477903,86110.93070693986,0.0018557685648132871,0.1855768564813287,-6.0420300659872555e-18,0.017888646319889137,0.7275329265712619,0.7293857475233987,0.004925550839806493,-0.011647721417990427,0.0,0.0,1.3924853800963691e-15
tau0_sigmax,fixed_delta0,4.0,0.0,1.0,82302.91941969184,83533.46543478467,0.014951426070536344,1.4951426070536344,-6.0420300659872555e-18,0.017888646319889137,0.6651859562238807,0.658098722840329,0.04972198529522188,0.049805668792809586,0.0,0.0,1.2772774485747725e-15
tau0_sigmax,fixed_frobenius_norm,-4.0,0.0,1.0,61077.49272846766,65408.883759787095,0.07091632019957839,7.091632019957839,-6.0420300659872555e-18,0.01788864631988913,0.582254035574249,0.6082810699785914,0.10600650102664622,0.10858352218343183,0.0,0.0,1.3270864623711207e-15
tau0_sigmax,fixed_frobenius_norm,0.0,0.0,1.0,84272.932417637,91022.95427049836,0.08009715170951726,8.009715170951726,-6.0420300659872555e-18,0.01788864631988913,0.70812973521174,0.7282845003199293,0.009135594829326509,-0.005528096500584968,0.0,0.0,1.2728214777213e-15
tau0_sigmax,fixed_frobenius_norm,2.0,0.0,1.0,85951.42475477903,93426.96136678927,0.0869739696966989,8.69739696966989,-6.0420300659872555e-18,0.01788864631988913,0.7275329265712619,0.7503056725874285,0.004925550839806493,-0.00991784599136537,0.0,0.0,1.3553639548161026e-15
tau0_sigmax,fixed_frobenius_norm,4.0,0.0,1.0,82302.91941969184,89753.50819736626,0.09052642154382418,9.052642154382418,-6.0420300659872555e-18,0.01788864631988913,0.6651859562238807,0.682458394982817,0.04972198529522188,0.06855451082437648,0.0,0.0,1.5109950559782706e-15
tau0_sigmaz,fixed_delta0,-4.0,0.0,1.0,61077.49272846766,61051.059140755075,-0.00043278770184784765,-0.043278770184784765,-6.0420300659872555e-18,0.042196097855445536,0.582254035574249,0.5829625145579764,0.10600650102664622,0.10596322981480284,0.0,0.0,1.6569410966744049e-15
tau0_sigmaz,fixed_delta0,0.0,0.0,1.0,84272.932417637,84493.12291425656,0.002612825854075407,0.2612825854075407,-6.0420300659872555e-18,0.042196097855445536,0.70812973521174,0.708373855653936,0.009135594829326509,0.009197517480957556,0.0,0.0,1.5780352681647567e-15
