eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,interband_pairing_weight_mean,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,3,3,2,196,1.0,0.0,0.0,1.9916081686194385,0.3314632507762686,0.0,0.0,4.960668874300948e-16,19816.48474294527,6394.598730888393,13421.886012056879,-7.137007037823427e-13,9949.991697755411,4606.049678077414,5343.942019677997,1.0793834961633466e-16
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,3,3,2,196,1.0,0.0,0.0015295042010907527,2.3815447020322615,0.40855432169859307,0.0,0.0,6.437869648028661e-16,24028.852134923553,8001.349628676248,15462.072752774211,565.4297534730979,10089.607855951152,4329.743308233582,5758.7466842360645,1.1178634815059816
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,3,3,2,196,1.0,0.0,0.008343098115625534,3.420409216303834,0.5475532010422514,0.0,0.0,1.1852301326505298e-15,33169.54632393738,11237.568807787284,19738.234024095258,2193.7434920548326,9697.537407462925,3633.295557846657,6061.809253394862,2.432596221404003
