mode,nk,n_keep,D_iso_eV_A2,Dconv_iso_eV_A2,Dgeom_iso_eV_A2,Dcross_iso_eV_A2,geom_fraction,anisotropy_ratio,benchmark_D_total_eV_A2,relative_delta_to_benchmark
intra_tauz_inter_tau0,14,2,29.342464480315314,20.945303834998196,8.397160645317118,1.1644391516778178e-16,0.28617775616463426,1.347411324806431,67.5,-0.5652968225138473
all_tauz,14,2,33.45020231942757,20.945303834998196,12.504898484429377,1.5539962669849522e-16,0.37383625859765424,1.4130828040717622,67.5,-0.5044414471195916
all_tau0,14,2,8.397160645317118,1.354767270282991e-32,8.397160645317118,3.935457402136837e-17,1.0,0.9693503351083109,67.5,-0.875597620069376
intra_tauz_inter_tau0,14,6,85.6040299535424,25.72397230906164,59.88005764448075,1.5266518208331295e-15,0.6995004519878079,1.0810793339756783,129.3,-0.3379425370955732
all_tauz,14,6,100.93913758775255,25.72397230906164,75.21516527869093,-2.3340603826111373e-15,0.7451536349149189,1.092538512820215,129.3,-0.2193415499787119
all_tau0,14,6,59.88005764448075,6.327174621190149e-31,59.88005764448075,-9.280558181356411e-17,1.0,0.9436719972167301,129.3,-0.5368905054564521
