normalization,mu_meV,nu_proxy,eta_baseline,eta_target,D_iso_baseline,D_iso_target,D_iso_rel_target_vs_baseline,geom_fraction_baseline,geom_fraction_target,geom_fraction_delta_target_vs_baseline,anisotropy_ratio_baseline,anisotropy_ratio_target,W_inter_baseline,W_inter_target
fixed_delta0,0.0,-0.3970370370370373,0.0,1.0,84820.86263876714,85538.67707348317,0.008462710851846023,0.7063509061830362,0.7013749162537634,-0.004975989929272839,1.0796345893899453,1.1022072929710633,4.382560584561177e-34,0.10759290521187835
fixed_delta0,2.0,0.1096296296296293,0.0,1.0,86165.7336891469,86776.78240026557,0.007091551188121992,0.7395150037953597,0.7383545147359832,-0.0011604890593764905,1.060323320122535,1.0512485272233814,4.382560584561177e-34,0.10759290521187835
fixed_frobenius_norm,0.0,-0.3970370370370373,0.0,1.0,84820.86263876714,92430.79845921019,0.08971773669470973,0.7063509061830362,0.7132401460154988,0.00688923983246259,1.0796345893899453,1.0928602584139298,4.382560584561177e-34,0.10759290521187832
fixed_frobenius_norm,2.0,0.1096296296296293,0.0,1.0,86165.7336891469,93619.54856674837,0.08650555805039617,0.7395150037953597,0.757863867645499,0.01834886385013923,1.060323320122535,1.049274647257462,4.382560584561177e-34,0.10759290521187832
