eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,interband_pairing_weight_mean,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,-6.0420300659872555e-18,1.0184396468006194,0.009135594829326509,0.0,0.0,1.1646352748916515e-15,85042.81578328375,26774.009768871965,58268.80601441178,1.9674783344475592e-12,83503.04905199025,22419.51642956572,61083.53262242454,-1.9303561017221335e-12
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.030413556047206188,1.014485602003246,0.007190720047262264,0.0,0.0,1.8218706051419516e-15,85284.09583876193,26975.925379071265,58513.87121458774,-205.70075489706824,84066.34423431577,22902.570567385803,60938.57463877794,225.19902815201664
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.10824164708279772,1.0049628685751686,0.0024752920131111407,0.0,0.0,1.598285111153655e-15,85425.88031165842,26963.435267195706,58902.10065637522,-439.655611912503,85004.01654916347,23414.219732369467,61091.789636162044,498.00718063196376
