eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,nu_proxy,interband_pairing_weight_mean,D_iso_raw,geom_fraction_total,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,-4.0,-0.9876543209876543,1.2173779401558823e-33,47755.174861686784,0.7973846370409476,1.1191136353394242,0.05620917790958647,0.0,0.0,1.4443902729466976e-15,50439.45398159075,13240.58389059015,37198.87009100061,-1.5179298147645399e-12,45070.89574178282,6111.28028495724,38959.615456825595,-1.6351255055022552e-13
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,-4.0,-0.9876543209876543,0.012990686226653596,48070.668620100114,0.800767410938019,1.1194639513949245,0.056365172578802,0.0,0.0,1.8436587928355166e-15,50780.18015285046,13081.701657771084,37658.51291980195,39.96557527743428,45361.15708734977,5957.680512219316,39328.33678615213,75.13978897831788
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,-4.0,-0.9876543209876543,0.04919572904804712,48838.88643642052,0.8081762896215552,1.1338853689243693,0.0627425310066478,0.0,0.0,1.5106453296517876e-15,51903.16178298779,13064.910534214376,38771.93411491523,66.31713385817443,45774.61108985326,5496.706319575694,40168.92594395443,108.97882632314077
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,-4.0,-0.9876543209876543,1.2173779401558823e-33,47755.174861686784,0.7973846370409476,1.1191136353394242,0.05620917790958647,0.0,0.0,1.4443902729466976e-15,50439.45398159075,13240.58389059015,37198.87009100061,-1.5179298147645399e-12,45070.89574178282,6111.28028495724,38959.615456825595,-1.6351255055022552e-13
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,-4.0,-0.9876543209876543,0.012990686226653628,47551.02278173699,0.7951939016722664,1.1115254402033634,0.052817474078182214,0.0,0.0,1.4560137839701591e-15,50062.54769490243,13136.025525184636,36884.20233649167,42.319833226115456,45039.49786857154,6213.849974062351,38740.36433214087,85.28356236832894
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,-4.0,-0.9876543209876543,0.04919572904804715,47318.00958571155,0.7931933550546123,1.1053725758125246,0.050049372269351515,0.0,0.0,1.3057612267220774e-15,49686.24626251157,13056.106985419787,36550.47694294677,79.66233414500613,44949.77290891153,6267.323271227446,38514.18461264693,168.2650250371654
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,-2.0,-0.7901234567901234,1.2173779401558823e-33,51189.006672951364,0.774081298355504,1.1729239900098147,0.07958124205211323,0.0,0.0,1.5783748538876073e-15,55262.69140339875,16984.571064264415,38278.12033913432,-2.030222355115032e-12,47115.321942503986,6144.536787784816,40970.785154719175,-8.807221070409143e-13
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,-2.0,-0.7901234567901234,0.012990686226653596,51616.68960250431,0.7770356148287978,1.171222135231962,0.07885979626569607,0.0,0.0,1.7177735342235428e-15,55687.17122846747,17004.453353813846,38737.78673025592,-55.06885560228594,47546.20797654115,6054.047508931969,41478.22555116238,13.934916446798278
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,-2.0,-0.7901234567901234,0.04919572904804712,51930.23144270161,0.7894492017339877,1.1578640359345267,0.07315754528813907,0.0,0.0,1.65860281516376e-15,55729.3197012946,16246.777617786114,39579.689655325325,-97.1475718168307,48131.14318410862,5689.904535641241,42412.869861278705,28.368787188672286
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,-2.0,-0.7901234567901234,1.2173779401558823e-33,51189.006672951364,0.774081298355504,1.1729239900098147,0.07958124205211323,0.0,0.0,1.5783748538876073e-15,55262.69140339875,16984.571064264415,38278.12033913432,-2.030222355115032e-12,47115.321942503986,6144.536787784816,40970.785154719175,-8.807221070409143e-13
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,-2.0,-0.7901234567901234,0.012990686226653628,51279.78411504234,0.7714763124228502,1.172287789653025,0.07931167798008208,0.0,0.0,1.5528455506484874e-15,55346.86983966271,17215.658623857416,38187.41079906441,-56.19958325913029,47212.698390421974,6265.519196726815,40934.86670276102,12.312490934142057
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,-2.0,-0.7901234567901234,0.04919572904804715,51368.652003089104,0.7687556039848219,1.1709181473281043,0.0787308114488171,0.0,0.0,1.2128732817782385e-15,55412.947658324214,17455.378716238083,38072.069646166376,-114.50070408025158,47324.356347853995,6401.755033172296,40907.808546875414,14.792767806287513
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,0.0,-0.2592592592592593,1.2173779401558823e-33,57795.204176524676,0.7638780921785823,1.14495488106398,0.06757945462800448,0.0,0.0,1.6867488984253205e-15,61700.97255488838,18932.309181902907,42768.66337298548,-6.789630586152068e-14,53889.43579816097,8361.11856427586,45528.317233885115,-4.968535870796552e-13
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,0.0,-0.2592592592592593,0.012990686226653596,58801.880921897995,0.766138639856523,1.1506322964682596,0.07004093480583641,0.0,0.0,1.4599770746560587e-15,62920.41963000921,19242.517799944286,43724.15725858667,-46.25542852174994,54683.34221378678,8332.875873651199,46376.62888242966,-26.162542294083263
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,0.0,-0.2592592592592593,0.04919572904804712,60737.11069749885,0.7682513349935312,1.1612163279763505,0.0745951832259684,0.0,0.0,1.4772985893768685e-15,65267.8065985947,19960.773639093168,45388.66502499668,-81.63206549514922,56206.414796403,8325.925478578814,47934.06772901007,-53.578411185891945
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,0.0,-0.2592592592592593,1.2173779401558823e-33,57795.204176524676,0.7638780921785823,1.14495488106398,0.06757945462800448,0.0,0.0,1.6867488984253205e-15,61700.97255488838,18932.309181902907,42768.66337298548,-6.789630586152068e-14,53889.43579816097,8361.11856427586,45528.317233885115,-4.968535870796552e-13
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,0.0,-0.2592592592592593,0.012990686226653628,57824.935048772444,0.764328967610979,1.1480321957756292,0.06891525930884689,0.0,0.0,1.2646525458021403e-15,61809.95544217583,19009.526683526663,42850.321197020916,-49.89243837175884,53839.914655369066,8320.530352618232,45544.2246189794,-24.84031622857512
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,0.0,-0.2592592592592593,0.04919572904804715,57873.11779419398,0.7645346040038444,1.1511851388681635,0.07027992901982806,0.0,0.0,1.4083095480567793e-15,61940.436404926084,19109.524477621042,42932.27351070461,-101.36158339957147,53805.79918346188,8292.551881516125,45559.72887979927,-46.4815778535166
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,2.0,0.18518518518518512,1.2173779401558823e-33,60127.44904107868,0.7625552374959571,1.1519261598537953,0.07060008037827717,0.0,0.0,1.0310470246258973e-15,64372.4517763196,19638.17949285621,44734.27228346339,1.829866847895764e-13,55882.44630583776,8915.716222209525,46966.73008362824,2.603568937945651e-12
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,2.0,0.18518518518518512,0.012990686226653596,61154.12599929533,0.7640019091086526,1.1514402716707988,0.07039018171449905,0.0,0.0,1.1737590171556837e-15,65458.7760409771,19753.14373371963,45682.01091690209,23.621390355378715,56849.47595761356,9039.570016593994,47761.72710976336,48.17883125621429
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,2.0,0.18518518518518512,0.04919572904804712,63002.113279505444,0.7668901167647845,1.1532816896657676,0.07118515445582968,0.0,0.0,2.477277699588741e-15,67486.92844435072,20071.993423498658,47382.363996686996,32.571024165068444,58517.298114660174,9176.937132413948,49249.03202200922,91.3289602370036
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,2,4,100,1.0,2.0,0.18518518518518512,1.2173779401558823e-33,60127.44904107868,0.7625552374959571,1.1519261598537953,0.07060008037827717,0.0,0.0,1.0310470246258973e-15,64372.4517763196,19638.17949285621,44734.27228346339,1.829866847895764e-13,55882.44630583776,8915.716222209525,46966.73008362824,2.603568937945651e-12
