eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,nu_proxy,interband_pairing_weight_mean,D_iso_raw,geom_fraction_total,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,15,3,6,196,1.0,0.0,-0.3970370370370373,4.382560584561177e-34,84820.86263876714,0.7063509061830362,1.0796345893899453,0.038292587455619274,0.0,0.0,1.6455207970347285e-15,88068.87293942319,29674.053536869666,58394.81940255352,-1.3096723705530166e-12,81572.85233811107,20141.085364424565,61431.76697368649,2.9912270191642974e-13
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,15,3,6,196,1.0,0.0,-0.3970370370370373,0.10759290521187832,92430.79845921019,0.7132401460154988,1.0928602584139298,0.04437002329257463,0.0,0.0,1.6798865002017484e-15,96531.95513979661,31960.730284630747,64615.24875740639,-44.023902240527605,88329.64177862376,20981.7302103329,67235.46362134602,112.44794694482522
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,15,3,6,196,1.0,0.0,-0.3970370370370373,4.382560584561177e-34,84820.86263876714,0.7063509061830362,1.0796345893899453,0.038292587455619274,0.0,0.0,1.6455207970347285e-15,88068.87293942319,29674.053536869666,58394.81940255352,-1.3096723705530166e-12,81572.85233811107,20141.085364424565,61431.76697368649,2.9912270191642974e-13
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,15,3,6,196,1.0,0.0,-0.3970370370370373,0.10759290521187835,85538.67707348317,0.7013749162537634,1.1022072929710633,0.04861903643508586,0.0,0.0,1.7386034224572665e-15,89697.48513072789,30773.706831979,58948.90935378417,-25.13105503526299,81379.86901623844,20181.002810235696,61040.45558395975,158.41062204301306
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,15,3,6,196,1.0,2.0,0.1096296296296293,4.382560584561177e-34,86165.7336891469,0.7395150037953597,1.060323320122535,0.02927856979211758,0.0,0.0,1.301311135671469e-15,88688.5431366536,24423.148976265853,64265.39416038774,2.9265518403715556e-12,83642.9242416402,20466.612649709085,63176.31159193112,1.6492170592149098e-12
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,15,3,6,196,1.0,2.0,0.1096296296296293,0.10759290521187832,93619.54856674837,0.757863867645499,1.049274647257462,0.02404492112533866,0.0,0.0,1.843966712098513e-15,95870.62322782565,24219.24153307827,71866.24182906575,-214.86013431836983,91368.4739056711,21550.0336725435,70035.50449897737,-217.06426584977953
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,15,3,6,196,1.0,2.0,0.1096296296296293,4.382560584561177e-34,86165.7336891469,0.7395150037953597,1.060323320122535,0.02927856979211758,0.0,0.0,1.301311135671469e-15,88688.5431366536,24423.148976265853,64265.39416038774,2.9265518403715556e-12,83642.9242416402,20466.612649709085,63176.31159193112,1.6492170592149098e-12
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,15,3,6,196,1.0,2.0,0.1096296296296293,0.10759290521187835,86776.78240026557,0.7383545147359832,1.0512485272233814,0.02498406533544361,0.0,0.0,1.679914294636903e-15,88944.81920135338,24701.07456551189,64406.954054726295,-163.2094188848028,84608.74559917777,21117.439210779517,63737.104064269886,-245.79767587165037
