theta_deg,n_shell,dimension,nk_bandwidth,bandwidth_nkeep2_meV,bandwidth_nkeep6_meV
0.9,3,196,17,8.747697176074903,21.49261778068442
0.95,3,196,17,5.88678453848648,22.639785631815624
1.0,3,196,17,6.4114423004933725,21.50870470108557
1.05,3,196,17,6.0964168694701115,18.971852955479616
1.1,3,196,17,6.490761494707147,21.58889944035249
1.15,3,196,17,9.400737003755982,25.407083885545923
1.2,3,196,17,11.758266546787736,26.585593562649272
