nk,n_keep,n_shell,m0,m1,normalization,mu_meV,eta_baseline,eta_target,D_iso_baseline,D_iso_target,D_iso_rel_target_vs_baseline,D_iso_rel_percent,W_inter_baseline,W_inter_target,geom_fraction_baseline,geom_fraction_target,anisotropy_norm_baseline,anisotropy_norm_target,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error
9,6,3,tau0_sigma0,taux_sigmax,fixed_delta0,4.0,0.0,1.0,80278.78405570664,80139.46973860246,-0.0017353815051247556,-0.17353815051247556,1.8275276125516916e-18,0.10729542571944178,0.6890269533742,0.6978602336028743,0.037937615466061975,0.03341892353738063,0.0,0.0,1.6389128249212105e-15
9,6,3,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,-4.0,0.0,1.0,60859.24969255264,64537.80979557417,0.060443730765738835,6.0443730765738835,1.8275276125516916e-18,0.10729542571944178,0.6029396962811328,0.6341356534171585,0.06607370223390714,0.05475821846881021,0.0,0.0,2.130877602734928e-15
9,6,3,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,-2.0,0.0,1.0,78932.93204937385,84896.4217078847,0.07555135104800859,7.555135104800859,1.8275276125516916e-18,0.10729542571944178,0.6714651289378224,0.7050603211290037,0.08949429071031262,0.09135099770264325,0.0,0.0,1.547066886847623e-15
9,6,3,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,0.0,0.0,1.0,83311.42938123674,90500.87185736667,0.08629599239296115,8.629599239296116,1.8275276125516916e-18,0.10729542571944178,0.7190800160357849,0.7304582295457911,0.039824984867604205,0.043957524542822216,0.0,0.0,1.6709632427389906e-15
9,6,3,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,2.0,0.0,1.0,82650.97528292186,87963.14486829145,0.06427231580977155,6.427231580977155,1.8275276125516916e-18,0.10729542571944178,0.7683654334590646,0.8019789089903562,0.026881602537038207,0.030161945927990586,0.0,0.0,1.6808948711167368e-15
9,6,3,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,4.0,0.0,1.0,80278.78405570664,85139.05359014694,0.06054239101414005,6.054239101414005,1.8275276125516916e-18,0.10729542571944178,0.6890269533742,0.7249443318796756,0.037937615466061975,0.03964068525111823,0.0,0.0,1.6268754915322246e-15
9,6,4,tau0_sigma0,taux_sigmax,fixed_delta0,-4.0,0.0,1.0,36645.18688801494,36737.13806912066,0.0025092294217712308,0.2509229421771231,3.1067969413378836e-17,0.12482412463491739,0.5595305145092733,0.5542617658670573,0.004141804192904275,0.004411990625430743,0.0,0.0,1.5225719055308981e-15
9,6,4,tau0_sigma0,taux_sigmax,fixed_delta0,-2.0,0.0,1.0,54816.47679041949,54825.18292856603,0.00015882338041950383,0.015882338041950383,3.1067969413378836e-17,0.12482412463491739,0.6760698561818953,0.675231862404345,0.004545780282140835,-0.007838123483080241,0.0,0.0,1.541470185251232e-15
9,6,4,tau0_sigma0,taux_sigmax,fixed_delta0,0.0,0.0,1.0,64352.19100410356,65517.1798413786,0.018103328248773254,1.8103328248773254,3.1067969413378836e-17,0.12482412463491739,0.7459290072434487,0.7511402097301316,0.003953392798591382,0.009120004678581567,0.0,0.0,1.9101916339611097e-15
9,6,4,tau0_sigma0,taux_sigmax,fixed_delta0,2.0,0.0,1.0,65235.7965572674,65552.96386598915,0.004861859982706385,0.48618599827063846,3.1067969413378836e-17,0.12482412463491739,0.6535937078973549,0.6643206105003995,-0.007181486520136529,-0.011441144159340657,0.0,0.0,1.5461326359326019e-15
